CTR20230454,安徽医科大学第二附属医院,胡伟,中国,安徽省,合肥市
CTR20230454,安徽医科大学第二附属医院,张茜,中国,安徽省,合肥市
CTR20230445,长沙市第一医院,何鸽飞,中国,湖南省,长沙市
CTR20230438,温州医科大学附属眼视光医院,马慧香,中国,浙江省,温州市
CTR20230437,厦门大学附属第一医院,刘剑锋,中国,福建省,厦门市
CTR20230432,河南省肿瘤医院,闫敏,中国,河南省,郑州市
CTR20230431,天津医科大学总医院,朱晓冬,中国,天津市,天津市
CTR20230427,广东省中医院,李健,中国,广东省,广州市
CTR20230427,广东省中医院,刘奕明,中国,广东省,广州市
CTR20230425,中国医学科学院北京协和医院,王孟昭,中国,北京市,北京市
CTR20230425,中国医学科学院北京协和医院,韩晓红,中国,北京市,北京市
CTR20230425,湖南省肿瘤医院,邬麟,中国,湖南省,长沙市
CTR20230425,河北大学附属医院,臧爱民,中国,河北省,保定市
CTR20230425,济南市中心医院,孙美丽,中国,山东省,济南市
CTR20230423,北京肿瘤医院,宋玉琴,中国,北京市,北京市
CTR20230423,浙江省肿瘤医院,杨海燕,中国,浙江省,杭州市
CTR20230423,大连医科大学附属第二医院,孙秀华,中国,辽宁省,大连市
CTR20230423,宁波市第一医院,盛立霞,中国,浙江省,宁波市
CTR20230423,河北大学附属医院,贾友超,中国,河北省,保定市
CTR20230421,浙江大学医学院附属第一医院,陈江华,中国,浙江省,杭州市
CTR20230421,上海市第一人民医院,戎殳,中国,上海市,上海市
CTR20230421,大连大学附属中山医院,高弼虎,中国,辽宁省,大连市
CTR20230421,东南大学附属中大医院,张晓良,中国,江苏省,无锡市
CTR20230421,东南大学附属中大医院,常文秀,中国,天津市,天津市
CTR20230421,郑州大学第一附属医院,王沛,中国,河南省,郑州市
CTR20230421,厦门大学附属中山医院,关天俊,中国,福建省,厦门市
CTR20230421,首都医科大学附属北京安贞医院,程虹,中国,北京市,北京市
CTR20230421,中国人民解放军北部战区总医院,曹宁,中国,辽宁省,沈阳市
CTR20230421,天津医科大学第二医院,王立华,中国,天津市,天津市
CTR20230421,河南省人民医院,张宏涛,中国,河南省,郑州市
CTR20230421,汾市中心医院,刘黎明,中国,山西省,临汾市
CTR20230420,首都医科大学附属北京友谊医院,张忠涛,中国,北京市,北京市
CTR20230420,北京博爱医院,徐青,中国,北京市,北京市
CTR20230420,南通大学附属医院,薛万江,中国,江苏省,南通市
CTR20230420,淮安市第一人民医院,陶国全,中国,江苏省,淮安市
CTR20230420,徐州医科大学附属医院,宋军,中国,江苏省,徐州市
CTR20230420,河北省人民医院,孙云,中国,河北省,石家庄市
CTR20230420,湖州市中心医院,魏云海,中国,浙江省,湖州市
CTR20230420,宁波市医疗中心李惠利医院,崔巍,中国,浙江省,宁波市
CTR20230420,苏北人民医院,王道荣,中国,江苏省,扬州市
CTR20230420,常州市第二人民医院,秦锡虎,中国,江苏省,常州市
CTR20230420,衢州市人民医院,毛兴龙,中国,浙江省,衢州市
CTR20230420,首都医科大学附属北京安贞医院,纪智礼,中国,北京市,北京市
CTR20230420,南华大学附属南华医院,李峰,中国,湖南省,衡阳市
CTR20230420,西安大兴医院,施海,中国,陕西省,西安市
CTR20230420,西安高新医院,周亮,中国,陕西省,西安市
CTR20230420,江苏大学附属医院,瞿建国,中国,江苏省,镇江市
CTR20230420,华中科技大学同济医学院附属协和医院,蔡开琳,中国,湖北省,武汉市
CTR20230420,陕西省人民医院,王建华,中国,陕西省,西安市
CTR20230420,合肥市第二人民医院,胡开兵,中国,安徽省,合肥市
